Date,High,Low,Open,Close,Volume,Adj Close,Name
2019-01-14,122.55000305175781,120.36000061035156,121.0199966430664,121.69000244140625,1529800.0,120.23817443847656,MCK
2019-01-15,123.12000274658203,121.01000213623047,121.7699966430664,123.05000305175781,1196200.0,121.58194732666016,MCK
2019-01-16,124.80999755859375,122.5199966430664,122.95999908447266,123.5999984741211,1164100.0,122.12538146972656,MCK
2019-01-17,125.13999938964844,123.33999633789062,123.44999694824219,124.38999938964844,1199300.0,122.90595245361328,MCK
2019-01-18,127.33000183105469,125.01000213623047,125.04000091552734,126.66999816894531,1839000.0,125.15876007080078,MCK
2019-01-22,126.04000091552734,124.1500015258789,125.88999938964844,125.87000274658203,1135600.0,124.3683090209961,MCK
2019-01-23,126.8499984741211,124.48999786376953,126.08000183105469,126.12000274658203,1319900.0,124.61532592773438,MCK
2019-01-24,126.80000305175781,124.45999908447266,125.9000015258789,125.47000122070312,1960900.0,123.97307586669922,MCK
2019-01-25,128.61000061035156,126.56999969482422,126.86000061035156,127.05000305175781,1093300.0,125.53422546386719,MCK
2019-01-28,126.83999633789062,124.69000244140625,126.41999816894531,125.7699966430664,1178800.0,124.26949310302734,MCK
2019-01-29,126.19000244140625,124.41999816894531,126.16999816894531,125.29000091552734,1335100.0,123.79522705078125,MCK
2019-01-30,126.08000183105469,124.30999755859375,125.30000305175781,124.97000122070312,1274600.0,123.47904205322266,MCK
2019-01-31,129.97999572753906,125.2300033569336,125.2300033569336,128.25,2962500.0,126.71990966796875,MCK
2019-02-01,127.7300033569336,122.45999908447266,123.55999755859375,127.33000183105469,3215700.0,125.8108901977539,MCK
2019-02-04,132.25999450683594,127.6500015258789,127.69000244140625,132.25999450683594,2496400.0,130.6820526123047,MCK
2019-02-05,133.75,131.5399932861328,132.55999755859375,131.77000427246094,2354400.0,130.1979217529297,MCK
2019-02-06,133.22000122070312,131.0,131.33999633789062,132.6199951171875,1387400.0,131.0377655029297,MCK
2019-02-07,133.49000549316406,130.2899932861328,132.80999755859375,130.60000610351562,1257000.0,129.0418701171875,MCK
2019-02-08,130.5800018310547,127.54000091552734,130.14999389648438,128.49000549316406,1447200.0,126.9570541381836,MCK
2019-02-11,130.88999938964844,128.2100067138672,128.74000549316406,130.42999267578125,1437700.0,128.87388610839844,MCK
2019-02-12,134.49000549316406,128.8699951171875,131.66000366210938,134.0,2794700.0,132.40130615234375,MCK
2019-02-13,135.3000030517578,133.6300048828125,134.3000030517578,134.1699981689453,1170000.0,132.56927490234375,MCK
2019-02-14,135.50999450683594,132.2100067138672,133.55999755859375,134.38999938964844,1071100.0,132.78663635253906,MCK
2019-02-15,136.16000366210938,134.4600067138672,135.32000732421875,135.55999755859375,1072400.0,133.9427032470703,MCK
2019-02-19,137.16000366210938,134.5399932861328,135.3699951171875,136.3000030517578,1260400.0,134.67385864257812,MCK
2019-02-20,135.89999389648438,133.8699951171875,135.19000244140625,134.0399932861328,1149500.0,132.44082641601562,MCK
2019-02-21,134.22999572753906,131.49000549316406,134.08999633789062,131.9499969482422,1372000.0,130.37576293945312,MCK
2019-02-22,132.4199981689453,130.80999755859375,131.9499969482422,131.49000549316406,1303700.0,129.92124938964844,MCK
2019-02-25,132.41000366210938,129.91000366210938,132.41000366210938,130.17999267578125,1437100.0,128.62686157226562,MCK
2019-02-26,130.3300018310547,126.9800033569336,130.08999633789062,127.1500015258789,2037900.0,125.6330337524414,MCK
2019-02-27,127.44000244140625,125.80000305175781,126.9800033569336,127.41999816894531,1432200.0,125.89981079101562,MCK
2019-02-28,128.4600067138672,126.58999633789062,127.27999877929688,127.16000366210938,1268200.0,126.02864837646484,MCK
2019-03-01,128.5,124.04000091552734,127.61000061035156,124.52999877929688,1549100.0,123.42205810546875,MCK
2019-03-04,124.70999908447266,119.75,124.52999877929688,120.0999984741211,2225400.0,119.03145599365234,MCK
2019-03-05,120.93000030517578,116.83999633789062,120.4000015258789,117.16000366210938,2954300.0,116.11763000488281,MCK
2019-03-06,117.37999725341797,113.08000183105469,116.97000122070312,113.51000213623047,1582600.0,112.5000991821289,MCK
2019-03-07,113.95999908447266,111.69999694824219,113.33999633789062,112.27999877929688,2450000.0,111.28103637695312,MCK
2019-03-08,112.47000122070312,110.5199966430664,112.12999725341797,111.86000061035156,1389200.0,110.86477661132812,MCK
2019-03-11,113.5999984741211,112.08999633789062,112.29000091552734,113.4800033569336,1231400.0,112.47036743164062,MCK
2019-03-12,115.91999816894531,113.98999786376953,113.98999786376953,115.61000061035156,1285600.0,114.58141326904297,MCK
2019-03-13,118.11000061035156,115.79000091552734,116.27999877929688,117.47000122070312,1186800.0,116.42486572265625,MCK
2019-03-14,118.31999969482422,116.5199966430664,117.45999908447266,117.72000122070312,1064300.0,116.67263793945312,MCK
2019-03-15,119.6500015258789,117.73999786376953,118.04000091552734,119.26000213623047,2296700.0,118.19894409179688,MCK
2019-03-18,121.44999694824219,119.72000122070312,119.80999755859375,121.37000274658203,1516800.0,120.29016876220703,MCK
2019-03-19,123.25,121.4000015258789,121.56999969482422,122.5199966430664,1302600.0,121.429931640625,MCK
2019-03-20,122.69000244140625,120.41999816894531,122.69000244140625,120.6500015258789,1512600.0,119.57657623291016,MCK
2019-03-21,122.3499984741211,119.51000213623047,120.31999969482422,122.2300033569336,818500.0,121.14251708984375,MCK
2019-03-22,122.0,118.51000213623047,121.80999755859375,118.54000091552734,1115800.0,117.4853515625,MCK
2019-03-25,118.76000213623047,115.13999938964844,118.76000213623047,115.6500015258789,1335900.0,114.62106323242188,MCK
2019-03-26,116.94000244140625,114.97000122070312,115.8499984741211,115.8499984741211,961000.0,114.81928253173828,MCK
2019-03-27,116.66999816894531,114.45999908447266,115.41999816894531,115.70999908447266,831000.0,114.6805191040039,MCK
2019-03-28,117.05999755859375,115.02999877929688,116.12000274658203,115.29000091552734,668800.0,114.2642593383789,MCK
2019-03-29,117.25,115.19000244140625,116.0199966430664,117.05999755859375,1115900.0,116.01850891113281,MCK
2019-04-01,118.93000030517578,117.37999725341797,118.0,118.83999633789062,1155400.0,117.78267669677734,MCK
2019-04-02,118.20999908447266,114.70999908447266,116.73999786376953,114.79000091552734,2709300.0,113.76871490478516,MCK
2019-04-03,117.79000091552734,113.87999725341797,115.80000305175781,115.08000183105469,1753000.0,114.05613708496094,MCK
2019-04-04,115.66000366210938,113.19999694824219,115.3499984741211,115.01000213623047,1746900.0,113.98674774169922,MCK
2019-04-05,117.81999969482422,115.08999633789062,115.51000213623047,116.69999694824219,2471000.0,115.66171264648438,MCK
2019-04-08,117.80999755859375,115.83000183105469,116.70999908447266,116.81999969482422,1161100.0,115.78064727783203,MCK
2019-04-09,116.97000122070312,114.61000061035156,116.27999877929688,115.80000305175781,917100.0,114.76972198486328,MCK
2019-04-10,116.4800033569336,113.41999816894531,116.06999969482422,115.2699966430664,1127000.0,114.24443817138672,MCK
2019-04-11,115.91999816894531,113.4800033569336,115.66999816894531,114.19000244140625,989700.0,113.1740493774414,MCK
2019-04-12,117.11000061035156,114.37999725341797,114.87000274658203,116.05000305175781,1343100.0,115.01750183105469,MCK
2019-04-15,118.54000091552734,116.08999633789062,116.48999786376953,117.20999908447266,1059600.0,116.16717529296875,MCK
2019-04-16,118.91000366210938,115.20999908447266,118.01000213623047,116.61000061035156,992700.0,115.57251739501953,MCK
2019-04-17,117.25,111.70999908447266,117.16999816894531,112.48999786376953,1441600.0,111.48916625976562,MCK
2019-04-18,114.61000061035156,111.91000366210938,112.55999755859375,114.0999984741211,1193600.0,113.08484649658203,MCK
2019-04-22,114.86000061035156,111.9000015258789,113.77999877929688,112.47000122070312,707200.0,111.46935272216797,MCK
2019-04-23,116.37999725341797,112.2300033569336,112.5199966430664,115.19999694824219,1089800.0,114.17505645751953,MCK
2019-04-24,116.02999877929688,114.06999969482422,115.2300033569336,115.33000183105469,958000.0,114.30390167236328,MCK
2019-04-25,115.9000015258789,113.69000244140625,115.08000183105469,115.20999908447266,652400.0,114.18496704101562,MCK
2019-04-26,117.87000274658203,115.77999877929688,115.77999877929688,117.58000183105469,1458400.0,116.53388977050781,MCK
2019-04-29,118.98999786376953,117.4800033569336,117.69999694824219,118.37000274658203,1059100.0,117.31685638427734,MCK
2019-04-30,120.33999633789062,117.8499984741211,119.04000091552734,119.25,1105700.0,118.18902587890625,MCK
2019-05-01,120.58999633789062,118.6500015258789,119.66000366210938,119.01000213623047,1007200.0,117.95116424560547,MCK
2019-05-02,122.6500015258789,119.06999969482422,119.08000183105469,122.62999725341797,1244500.0,121.53895568847656,MCK
2019-05-03,125.33999633789062,122.48999786376953,122.94000244140625,123.4800033569336,1759200.0,122.38139343261719,MCK
2019-05-06,125.19999694824219,121.33000183105469,122.23999786376953,124.91999816894531,1370800.0,123.80858612060547,MCK
2019-05-07,125.91999816894531,123.45999908447266,123.66999816894531,125.68000030517578,2539700.0,124.56182098388672,MCK
2019-05-08,133.22000122070312,123.87000274658203,127.0,131.6999969482422,3147800.0,130.52825927734375,MCK
2019-05-09,135.50999450683594,130.16000366210938,131.47000122070312,134.60000610351562,2057900.0,133.40248107910156,MCK
2019-05-10,134.8300018310547,128.9199981689453,133.58999633789062,130.86000061035156,1281100.0,129.69573974609375,MCK
2019-05-13,129.8000030517578,125.30000305175781,129.38999938964844,126.44999694824219,1447600.0,125.32496643066406,MCK
2019-05-14,127.5199966430664,125.55999755859375,126.61000061035156,125.61000061035156,1469700.0,124.49243927001953,MCK
2019-05-15,126.69000244140625,123.12000274658203,125.56999969482422,126.30999755859375,1016100.0,125.18621063232422,MCK
2019-05-16,128.0,125.16999816894531,127.0,125.58000183105469,2189600.0,124.46271514892578,MCK
2019-05-17,126.9000015258789,124.37000274658203,124.38999938964844,125.0,1720500.0,123.88787841796875,MCK
2019-05-20,126.56999969482422,123.5999984741211,124.29000091552734,126.4000015258789,2175700.0,125.2754135131836,MCK
2019-05-21,130.44000244140625,126.4000015258789,126.55999755859375,128.3300018310547,1819900.0,127.18824005126953,MCK
2019-05-22,130.07000732421875,127.87999725341797,128.25,129.6300048828125,1312600.0,128.4766845703125,MCK
2019-05-23,130.72000122070312,128.17999267578125,129.1199951171875,129.08999633789062,1420400.0,127.94148254394531,MCK
2019-05-24,130.5800018310547,128.74000549316406,129.1699981689453,129.9199981689453,1283800.0,128.76409912109375,MCK
2019-05-28,131.6300048828125,129.33999633789062,129.47999572753906,130.10000610351562,1502000.0,128.9425048828125,MCK
2019-05-29,129.89999389648438,125.19000244140625,129.6199951171875,125.38999938964844,2021500.0,124.27440643310547,MCK
2019-05-30,126.51000213623047,122.76000213623047,125.48999786376953,123.8499984741211,1674500.0,122.74810791015625,MCK
2019-05-31,123.52999877929688,121.16999816894531,122.37999725341797,122.13999938964844,1584900.0,121.43571472167969,MCK
2019-06-03,125.25,122.2699966430664,122.27999877929688,124.55999755859375,1050900.0,123.84175872802734,MCK
2019-06-04,128.61000061035156,125.8499984741211,126.13999938964844,127.55999755859375,1675500.0,126.82445526123047,MCK
2019-06-05,129.60000610351562,126.1500015258789,128.41000366210938,127.37000274658203,1013300.0,126.63555145263672,MCK
2019-06-06,129.42999267578125,127.04000091552734,127.04000091552734,128.14999389648438,1274500.0,127.41105651855469,MCK
2019-06-07,131.2100067138672,128.60000610351562,128.89999389648438,130.27999877929688,1042700.0,129.52877807617188,MCK
2019-06-10,133.91000366210938,130.27999877929688,131.13999938964844,132.75,1212100.0,131.9845428466797,MCK
2019-06-11,134.0,131.6699981689453,133.38999938964844,132.60000610351562,1456900.0,131.8354034423828,MCK
2019-06-12,134.19000244140625,131.9199981689453,132.2100067138672,134.02000427246094,1133400.0,133.24722290039062,MCK
2019-06-13,134.88999938964844,133.00999450683594,134.47000122070312,134.83999633789062,735700.0,134.06248474121094,MCK
2019-06-14,135.00999450683594,133.02000427246094,135.0,133.1300048828125,1056500.0,132.3623504638672,MCK
2019-06-17,134.08999633789062,132.1999969482422,133.83999633789062,133.8300018310547,950000.0,133.05831909179688,MCK
2019-06-18,135.1699981689453,132.9499969482422,135.1699981689453,133.47000122070312,1126800.0,132.7003936767578,MCK
